i,j,length
0,1,1.96468827043885
0,2,5.0643007760336936
0,3,1.1854219150394074
0,5,4.907218491015141
0,7,4.640221721305585
0,8,2.6596014859808714
0,9,3.080543715187625
0,10,3.585117510979431
1,2,3.608830236783567
1,3,2.6400831314914046
1,5,4.921232308870278
1,7,4.717041635672212
1,8,4.120651436973349
1,9,1.2596981846086392
1,10,4.483110549310852
2,7,3.8125014837397604
2,9,3.7610074859206524
2,10,5.097154605916928
3,5,3.9603850053646843
3,6,4.2284009238396125
3,8,3.453934890729809
3,9,3.4480499930985538
3,10,4.603146042889638
4,7,2.8705173286733583
4,8,3.270348339390213
4,10,2.2167807986842525
5,6,4.412446144735891
5,9,4.571665408744175
7,8,3.351784281672397
7,10,1.9870721685071835
8,10,1.4754000196183448
