temperature[F],precipitation[cm/hour],wind[km/hour],j,d_j
60.0,18.82,0.59,1,208
60.0,18.82,0.59,2,179
60.0,18.82,0.59,3,153
60.0,18.82,0.59,4,153
60.0,18.82,0.59,5,225
60.0,18.82,0.59,6,211
60.0,18.82,0.59,7,137
60.0,18.82,0.59,8,254
60.0,18.82,0.59,9,268
60.0,18.82,0.59,10,169
58.5,19.76,3.52,1,184
58.5,19.76,3.52,2,152
58.5,19.76,3.52,3,129
58.5,19.76,3.52,4,139
58.5,19.76,3.52,5,187
58.5,19.76,3.52,6,181
58.5,19.76,3.52,7,121
58.5,19.76,3.52,8,215
58.5,19.76,3.52,9,228
58.5,19.76,3.52,10,151
19.2,48.5,1.69,1,134
19.2,48.5,1.69,2,109
19.2,48.5,1.69,3,88
19.2,48.5,1.69,4,94
19.2,48.5,1.69,5,137
19.2,48.5,1.69,6,126
19.2,48.5,1.69,7,80
19.2,48.5,1.69,8,157
19.2,48.5,1.69,9,167
19.2,48.5,1.69,10,108
47.2,15.57,1.87,1,190
47.2,15.57,1.87,2,163
47.2,15.57,1.87,3,138
47.2,15.57,1.87,4,139
47.2,15.57,1.87,5,193
47.2,15.57,1.87,6,182
47.2,15.57,1.87,7,127
47.2,15.57,1.87,8,219
47.2,15.57,1.87,9,241
47.2,15.57,1.87,10,156
31.4,18.4,3.54,1,156
31.4,18.4,3.54,2,132
31.4,18.4,3.54,3,114
31.4,18.4,3.54,4,114
31.4,18.4,3.54,5,164
31.4,18.4,3.54,6,151
31.4,18.4,3.54,7,102
31.4,18.4,3.54,8,186
31.4,18.4,3.54,9,199
31.4,18.4,3.54,10,124
25.2,44.87,3.52,1,128
25.2,44.87,3.52,2,102
25.2,44.87,3.52,3,95
25.2,44.87,3.52,4,95
25.2,44.87,3.52,5,128
25.2,44.87,3.52,6,122
25.2,44.87,3.52,7,81
25.2,44.87,3.52,8,148
25.2,44.87,3.52,9,160
25.2,44.87,3.52,10,105
19.3,34.05,3.63,1,132
19.3,34.05,3.63,2,105
19.3,34.05,3.63,3,91
19.3,34.05,3.63,4,99
19.3,34.05,3.63,5,135
19.3,34.05,3.63,6,126
19.3,34.05,3.63,7,81
19.3,34.05,3.63,8,147
19.3,34.05,3.63,9,162
19.3,34.05,3.63,10,106
59.4,35.02,4.86,1,160
59.4,35.02,4.86,2,134
59.4,35.02,4.86,3,113
59.4,35.02,4.86,4,121
59.4,35.02,4.86,5,169
59.4,35.02,4.86,6,158
59.4,35.02,4.86,7,101
59.4,35.02,4.86,8,188
59.4,35.02,4.86,9,203
59.4,35.02,4.86,10,132
22.0,27.1,0.62,1,161
22.0,27.1,0.62,2,135
22.0,27.1,0.62,3,109
22.0,27.1,0.62,4,116
22.0,27.1,0.62,5,166
22.0,27.1,0.62,6,149
22.0,27.1,0.62,7,101
22.0,27.1,0.62,8,185
22.0,27.1,0.62,9,202
22.0,27.1,0.62,10,134
34.1,43.54,4.92,1,127
34.1,43.54,4.92,2,110
34.1,43.54,4.92,3,88
34.1,43.54,4.92,4,99
34.1,43.54,4.92,5,134
34.1,43.54,4.92,6,119
34.1,43.54,4.92,7,81
34.1,43.54,4.92,8,154
34.1,43.54,4.92,9,160
34.1,43.54,4.92,10,105
74.6,6.92,4.22,1,210
74.6,6.92,4.22,2,176
74.6,6.92,4.22,3,151
74.6,6.92,4.22,4,153
74.6,6.92,4.22,5,222
74.6,6.92,4.22,6,205
74.6,6.92,4.22,7,137
74.6,6.92,4.22,8,242
74.6,6.92,4.22,9,260
74.6,6.92,4.22,10,171
15.4,16.26,1.29,1,154
15.4,16.26,1.29,2,135
15.4,16.26,1.29,3,106
15.4,16.26,1.29,4,119
15.4,16.26,1.29,5,158
15.4,16.26,1.29,6,149
15.4,16.26,1.29,7,106
15.4,16.26,1.29,8,184
15.4,16.26,1.29,9,189
15.4,16.26,1.29,10,132
49.1,36.41,2.65,1,166
49.1,36.41,2.65,2,142
49.1,36.41,2.65,3,119
49.1,36.41,2.65,4,122
49.1,36.41,2.65,5,167
49.1,36.41,2.65,6,159
49.1,36.41,2.65,7,106
49.1,36.41,2.65,8,196
49.1,36.41,2.65,9,209
49.1,36.41,2.65,10,138
98.9,39.16,0.11,1,241
98.9,39.16,0.11,2,195
98.9,39.16,0.11,3,169
98.9,39.16,0.11,4,171
98.9,39.16,0.11,5,249
98.9,39.16,0.11,6,234
98.9,39.16,0.11,7,157
98.9,39.16,0.11,8,276
98.9,39.16,0.11,9,292
98.9,39.16,0.11,10,198
34.9,43.23,3.99,1,136
34.9,43.23,3.99,2,112
34.9,43.23,3.99,3,101
34.9,43.23,3.99,4,101
34.9,43.23,3.99,5,143
34.9,43.23,3.99,6,135
34.9,43.23,3.99,7,89
34.9,43.23,3.99,8,163
34.9,43.23,3.99,9,165
34.9,43.23,3.99,10,106
21.3,6.48,0.85,1,169
21.3,6.48,0.85,2,148
21.3,6.48,0.85,3,130
21.3,6.48,0.85,4,125
21.3,6.48,0.85,5,182
21.3,6.48,0.85,6,167
21.3,6.48,0.85,7,114
21.3,6.48,0.85,8,202
21.3,6.48,0.85,9,213
21.3,6.48,0.85,10,139
11.2,27.35,3.18,1,126
11.2,27.35,3.18,2,105
11.2,27.35,3.18,3,97
11.2,27.35,3.18,4,97
11.2,27.35,3.18,5,135
11.2,27.35,3.18,6,122
11.2,27.35,3.18,7,89
11.2,27.35,3.18,8,156
11.2,27.35,3.18,9,162
11.2,27.35,3.18,10,107
35.5,48.08,0.76,1,149
35.5,48.08,0.76,2,128
35.5,48.08,0.76,3,106
35.5,48.08,0.76,4,110
35.5,48.08,0.76,5,155
35.5,48.08,0.76,6,142
35.5,48.08,0.76,7,96
35.5,48.08,0.76,8,176
35.5,48.08,0.76,9,189
