temperature[F],precipitation[cm/hour],wind[km/hour],i,j,duration[min]
97.5,35.76,2.71,0,1,10.6
97.5,35.76,2.71,0,2,32.08
97.5,35.76,2.71,0,3,6.95
97.5,35.76,2.71,0,5,27.64
97.5,35.76,2.71,0,7,24.13
97.5,35.76,2.71,0,8,18.42
97.5,35.76,2.71,0,9,21.2
97.5,35.76,2.71,0,10,19.0
97.5,35.76,2.71,1,2,20.32
97.5,35.76,2.71,1,3,14.0
97.5,35.76,2.71,1,5,22.0
97.5,35.76,2.71,1,7,27.13
97.5,35.76,2.71,1,8,26.25
97.5,35.76,2.71,1,9,6.7
97.5,35.76,2.71,1,10,24.79
97.5,35.76,2.71,2,7,20.19
97.5,35.76,2.71,2,9,16.35
97.5,35.76,2.71,2,10,30.55
97.5,35.76,2.71,3,5,22.36
97.5,35.76,2.71,3,6,30.38
97.5,35.76,2.71,3,8,18.98
97.5,35.76,2.71,3,9,16.15
97.5,35.76,2.71,3,10,27.65
97.5,35.76,2.71,4,7,18.97
97.5,35.76,2.71,4,8,18.34
97.5,35.76,2.71,4,10,12.12
97.5,35.76,2.71,5,6,21.61
97.5,35.76,2.71,5,9,25.9
97.5,35.76,2.71,7,8,19.92
97.5,35.76,2.71,7,10,10.48
97.5,35.76,2.71,8,10,8.01
90.5,27.67,2.55,0,1,9.98
90.5,27.67,2.55,0,2,25.02
90.5,27.67,2.55,0,3,6.46
90.5,27.67,2.55,0,5,24.4
90.5,27.67,2.55,0,7,22.75
90.5,27.67,2.55,0,8,16.78
90.5,27.67,2.55,0,9,17.17
90.5,27.67,2.55,0,10,18.8
90.5,27.67,2.55,1,2,20.23
90.5,27.67,2.55,1,3,12.89
90.5,27.67,2.55,1,5,20.79
90.5,27.67,2.55,1,7,23.02
90.5,27.67,2.55,1,8,22.13
90.5,27.67,2.55,1,9,6.05
90.5,27.67,2.55,1,10,21.62
90.5,27.67,2.55,2,7,16.78
90.5,27.67,2.55,2,9,16.13
90.5,27.67,2.55,2,10,31.37
90.5,27.67,2.55,3,5,18.09
90.5,27.67,2.55,3,6,27.18
90.5,27.67,2.55,3,8,15.37
90.5,27.67,2.55,3,9,15.19
90.5,27.67,2.55,3,10,26.09
